AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT1G01010	47	65	102	91	1.336	1.755	2.588	2.364	1.5455	2.476	0.67993766	0.237242573	0.690357733	NAC001	NAC domain containing protein 1
AT1G01020	136	186	228	216	5.139	6.741	7.545	7.337	5.94	7.441	0.325033588	0.621921013	0.958433792	ARV1	ARV1 family protein
AT1G01030	95	52	63	67	2.392	1.244	1.416	1.542	1.818	1.479	-0.297730147	0.254740827	0.714205587	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	761	957	1171	1136	5.923	7.076	8.197	8.08	6.4995	8.1385	0.32443418	0.58395017	0.939694452	DCL1	dicer-like 1
AT1G01050	984	995	1144	1114	47.491	45.624	49.291	49.137	46.5575	49.214	0.080055188	0.341575384	0.806478118	PPa1	pyrophosphorylase 1
AT1G01060	204	122	46	45	4.209	2.433	0.887	0.868	3.321	0.8775	-1.920146692	0.000000112	0.00000827	LHY	Homeodomain-like superfamily protein
AT1G01070	58	51	46	49	1.649	1.374	1.164	1.289	1.5115	1.2265	-0.301433745	0.221298367	0.667318201	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	1170	1441	1873	1856	35.328	40.173	50.682	51.467	37.7505	51.0745	0.436107423	0.241491204	0.696415843	AT1G01080	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	3429	3548	4037	4121	86.763	85.29	91.189	95.296	86.0265	93.2425	0.116206544	0.397522488	0.852666737	PDH-E1	pyruvate dehydrogenase E1 alpha
AT1G01100	2789	2858	3999	3716	177.26	171.579	226.608	212.838	174.4195	219.723	0.333124553	0.432014704	0.876775569	AT1G01100	60S acidic ribosomal protein family
AT1G01110	28	79	43	46	0.644	1.721	0.901	0.954	1.1825	0.9275	-0.350420997	0.316751358	0.784168915	IQD18	IQ-domain 18
AT1G01120	3767	3298	3779	3589	88.069	73.253	78.872	76.685	80.661	77.7785	-0.05249988	0.094153499	0.41941433	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	15	17	25	24	1.919	2.066	2.855	2.806	1.9925	2.8305	0.506477199	0.681720246	0.958433792	AT1G01130	CBL-interacting Serine/Threonine-kinase
AT1G01140	3884	3016	2554	1784	106.749	78.919	62.42	44.969	92.834	53.6945	-0.789878964	0.0000264	0.00084037	CIPK9	CBL-interacting protein kinase 9
AT1G01150	1	4	4	0	0.042	0.148	0.14	0	0.095	0.07	-0.440572591	0.783237649	0.966194613	AT1G01150	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	474	443	646	597	21.729	19.252	26.451	25.023	20.4905	25.737	0.328888709	0.62035104	0.958433792	GIF2	GRF1-interacting factor 2
AT1G01170	994	1161	1199	1230	92.626	102.857	99.797	104.831	97.7415	102.314	0.065960418	0.290368237	0.7553091	AT1G01170	ozone-responsive stress-like protein (DUF1138)
AT1G01180	323	320	383	392	10.643	10.017	11.266	11.804	10.33	11.535	0.15917775	0.73025582	0.959508788	AT1G01180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01190	8	16	16	16	0.228	0.435	0.407	0.42	0.3315	0.4135	0.318878459	0.912494241	0.985854205	CYP78A8	cytochrome P450, family 78, subfamily A, polypeptide 8
AT1G01200	11	18	21	11	0.437	0.68	0.745	0.4	0.5585	0.5725	0.035718413	0.821198769	0.966194613	RABA3	RAB GTPase homolog A3
AT1G01210	181	222	306	269	12.819	14.998	20.017	18.322	13.9085	19.1695	0.462845871	0.45782359	0.893793096	AT1G01210	DNA-directed RNA polymerase, subunit M, archaeal
AT1G01220	507	665	730	809	6.908	8.694	8.807	9.979	7.801	9.393	0.267926936	0.751980244	0.963818516	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	61	51	76	40	2.717	2.158	3.022	1.628	2.4375	2.325	-0.068171503	0.551646084	0.935995385	AT1G01225	NC domain-containing protein-like protein
AT1G01230	417	488	529	471	22.837	25.39	25.863	23.574	24.1135	24.7185	0.03575013	0.318831566	0.785897787	AT1G01230	ORMDL family protein
AT1G01240	514	433	160	175	15.789	12.808	4.486	4.879	14.2985	4.6825	-1.610512908	3.98E-14	1.59E-11	AT1G01240	uncharacterized protein
AT1G01250	129	49	27	15	6.946	2.507	1.298	0.738	4.7265	1.018	-2.215034694	0.000105224	0.002545012	AT1G01250	Integrase-type DNA-binding superfamily protein
AT1G01260	298	296	415	266	5.662	5.267	6.744	4.591	5.4645	5.6675	0.05262299	0.606481304	0.951994628	AT1G01260	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01280	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	CYP703A2	cytochrome P450, family 703, subfamily A, polypeptide 2
AT1G01290	197	233	276	300	6.492	7.366	8.154	9.111	6.929	8.6325	0.317131273	0.709004598	0.958433792	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	1134	1270	1695	1957	26.383	28.072	35.205	41.612	27.2275	38.4085	0.4963611	0.099859158	0.435709775	AT1G01300	Eukaryotic aspartyl protease family protein
AT1G01305	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G01305	uncharacterized protein
AT1G01310	5	0	4	2	0.246	0	0.175	0.09	0.123	0.1325	0.107334044	0.949942231	0.989431139	AT1G01310	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	7564	8471	10027	10013	59.97	63.806	70.969	72.552	61.888	71.7605	0.213530243	0.903357007	0.985295315	AT1G01320	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G01335	auxin-responsive endogenous peptide protein
AT1G01340	54	57	110	78	1.055	1.019	1.847	1.341	1.037	1.594	0.620235735	0.292321577	0.757150033	CNGC10	cyclic nucleotide gated channel 10
AT1G01350	254	308	438	450	8.493	9.786	13.089	13.759	9.1395	13.424	0.554627475	0.114365858	0.471524619	AT1G01350	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	3	0	0	2	0.184	0	0	0.116	0.092	0.058	-0.665580961	0.761437145	0.966194613	AT1G01355	Putative endonuclease or glycosyl hydrolase
AT1G01360	246	210	167	174	10.01	8.118	6.066	6.471	9.064	6.2685	-0.532027602	0.004290143	0.048827212	RCAR1	regulatory component of ABA receptor 1
AT1G01370	76	62	76	71	3.354	2.545	2.943	2.728	2.9495	2.8355	-0.056867253	0.517571548	0.919506131	HTR12	Histone superfamily protein
AT1G01380	36	24	33	23	2.561	1.444	1.867	1.376	2.0025	1.6215	-0.304473219	0.462034758	0.896273038	ETC1	Homeodomain-like superfamily protein
AT1G01390	57	67	85	116	1.529	1.707	2.035	2.77	1.618	2.4025	0.570324823	0.346500046	0.811400081	AT1G01390	UDP-Glycosyltransferase superfamily protein
AT1G01400	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G01400	uncharacterized protein
AT1G01410	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	PUM22	pumilio 22
AT1G01420	214	226	192	258	6.614	6.563	5.158	7.078	6.5885	6.118	-0.106889938	0.254599455	0.714098255	UGT72B3	UDP-glucosyl transferase 72B3
AT1G01430	1843	2067	2137	2621	41.432	44.147	42.888	53.85	42.7895	48.369	0.17682589	0.754772961	0.964297625	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	370	500	517	505	6.272	8.053	7.824	7.824	7.1625	7.824	0.127443136	0.631039755	0.958433792	AT1G01440	hypothetical protein (DUF3133)
AT1G01450	84	88	128	135	2.852	2.839	3.88	4.189	2.8455	4.0345	0.50370771	0.386010919	0.846635176	AT1G01450	Protein kinase superfamily protein
AT1G01453	3	0	0	0	0.106	0	0	0	0.053	0.001	-5.727920455	0.439702207	0.882297639	AT1G01453	late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	PIPK11	Phosphatidylinositol-4-phosphate 5-kinase, core
AT1G01470	2850	1545	1658	1102	101.429	52.239	52.677	35.843	76.834	44.26	-0.795741412	0.001786521	0.025008061	LEA14	Late embryogenesis abundant protein
AT1G01480	62	25	27	10	1.538	0.609	0.578	0.219	1.0735	0.3985	-1.429670562	0.034390802	0.2221182	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490	949	1115	1030	1153	29.886	32.836	28.826	33.059	31.361	30.9425	-0.019381799	0.125421575	0.49515649	AT1G01490	Heavy metal transport/detoxification superfamily protein
AT1G01500	410	513	675	667	11.094	13.187	16.305	16.494	12.1405	16.3995	0.43382399	0.267241193	0.729168271	AT1G01500	Erythronate-4-phosphate dehydrogenase family protein
AT1G01510	800	954	982	940	14.554	16.489	15.949	15.629	15.5215	15.789	0.024651814	0.211414876	0.654184639	AN	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520	209	62	20	17	7.313	2.022	0.607	0.55	4.6675	0.5785	-3.012261158	0.0000003	0.0000194	ASG4	Homeodomain-like superfamily protein
AT1G01530	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AGL28	AGAMOUS-like 28
AT1G01540	1439	1590	1871	1898	33.491	34.82	38.958	40.449	34.1555	39.7035	0.21714828	0.876972018	0.978387771	AT1G01540	Protein kinase superfamily protein
AT1G01550	3555	3590	3879	3287	107.77	103.427	104.994	91.151	105.5985	98.0725	-0.106668782	0.032531542	0.213121561	BPS1	BPS1-like protein (DUF793)
AT1G01560	112	115	147	73	3.348	3.266	3.938	1.971	3.307	2.9545	-0.162609047	0.349884593	0.815246534	MPK11	MAP kinase 11
AT1G01570	42	26	30	17	1.254	0.768	0.758	0.492	1.011	0.625	-0.693854902	0.169900322	0.586696138	AT1G01570	transferring glycosyl group transferase (DUF604)
AT1G01580	26	13	10	14	0.473	0.225	0.163	0.233	0.349	0.198	-0.817726606	0.199129349	0.63445127	FRO2	ferric reduction oxidase 2
AT1G01590	2	1	0	0	0.037	0.017	0	0	0.027	0.001	-4.754887502	0.354417775	0.817686297	FRO1	ferric reduction oxidase 1
AT1G01600	436	342	318	387	9.004	6.71	5.863	7.304	7.857	6.5835	-0.255123789	0.057819416	0.310898954	CYP86A4	cytochrome P450, family 86, subfamily A, polypeptide 4
AT1G01610	2012	1834	2189	2395	50.378	43.627	48.93	54.805	47.0025	51.8675	0.14209334	0.595232293	0.945669802	GPAT4	glycerol-3-phosphate acyltransferase 4
AT1G01620	5438	5437	6216	6530	168.735	159.978	171.864	184.831	164.3565	178.3475	0.117862479	0.421424081	0.868728365	PIP1C	plasma membrane intrinsic protein 1C
AT1G01630	1620	1585	2149	1991	52.548	48.844	62.229	59.022	50.696	60.6255	0.25805282	0.856246029	0.975137558	AT1G01630	Sec14p-like phosphatidylinositol transfer family protein
AT1G01640	2	0	10	30	0.087	0	0.38	1.168	0.0435	0.774	4.15324626	0.008589909	0.081623486	AT1G01640	BTB/POZ domain-containing protein
AT1G01650	734	597	534	456	15.71	12.151	10.251	8.935	13.9305	9.593	-0.538193079	0.000647051	0.011242205	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660	7	9	8	10	0.171	0.203	0.17	0.233	0.187	0.2015	0.107741569	0.872488625	0.977685151	AT1G01660	RING/U-box superfamily protein
AT1G01670	18	13	21	31	0.617	0.397	0.642	0.893	0.507	0.7675	0.598181003	0.573864773	0.937305832	AT1G01670	RING/U-box superfamily protein
AT1G01680	2	1	0	5	0.081	0.038	0	0.185	0.0595	0.0925	0.636563697	0.874549035	0.978349903	PUB54	plant U-box 54
AT1G01690	100	105	110	144	2.698	2.671	2.662	3.512	2.6845	3.087	0.201552078	0.92955418	0.986425089	PRD3	putative recombination initiation defects 3
AT1G01695	7	8	9	5	0.203	0.22	0.232	0.132	0.2115	0.182	-0.216719213	0.693645152	0.958433792	TRM33	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AT1G01700	10	20	23	25	0.264	0.549	0.572	0.654	0.4065	0.613	0.592631722	0.626920174	0.958433792	ROPGEF2	RHO guanyl-nucleotide exchange factor 2
AT1G01710	652	640	828	750	18.389	17.149	20.847	19.332	17.769	20.0895	0.177079166	0.768339649	0.966194613	AT1G01710	acyl-CoA thioesterase II
AT1G01715	24	28	27	33	1.73	1.879	1.64	2.211	1.8045	1.9255	0.09363398	0.824325165	0.966194613	AT1G01715	uncharacterized protein
AT1G01720	3829	2488	2122	1531	111.127	68.601	54.979	40.608	89.864	47.7935	-0.910928858	0.0000327	0.0009902	ATAF1	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01725	73	104	93	81	6.522	8.827	7.417	6.613	7.6745	7.015	-0.129629657	0.326359179	0.793208786	AT1G01725	adenylosuccinate synthetase
AT1G01730	214	249	274	299	8.577	9.481	9.803	10.952	9.029	10.3775	0.200820815	0.901601344	0.985008473	AT1G01730	uncharacterized protein
AT1G01740	88	136	140	172	2.378	3.363	3.198	4.09	2.8705	3.644	0.344220904	0.651405939	0.958433792	BSK4	kinase with tetratricopeptide repeat domain-containing protein
AT1G01750	8	14	13	25	0.405	0.768	0.729	1.284	0.5865	1.0065	0.779144159	0.586697573	0.941608267	ADF11	actin depolymerizing factor 11
AT1G01760	77	73	90	105	2.627	2.461	2.852	3.592	2.544	3.222	0.340857823	0.916396252	0.986425089	AT1G01760	denosine deaminases acting on tRNA
AT1G01770	464	505	727	658	9.365	9.683	13.099	12.137	9.524	12.618	0.40584373	0.323495941	0.790198492	AT1G01770	propionyl-CoA carboxylase
AT1G01780	136	197	223	257	6.948	9.562	10.171	12	8.255	11.0855	0.425333723	0.477039252	0.903584591	PLIM2b	GATA type zinc finger transcription factor family protein
AT1G01790	3561	3476	3247	3304	40.131	37.211	32.66	34.017	38.671	33.3385	-0.214062877	0.002080114	0.028198859	KEA1	K+ efflux antiporter 1
AT1G01800	837	874	988	953	32.487	32.791	34.234	33.805	32.639	34.0195	0.059765081	0.323158591	0.790198492	AT1G01800	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01810	1	1	3	6	0.073	0.07	0.197	0.403	0.0715	0.3	2.068947354	0.343160384	0.808245848	AT1G01810	uncharacterized protein
AT1G01820	499	781	1040	1003	18.969	28.206	35.294	34.846	23.5875	35.07	0.572214913	0.117554679	0.477610927	PEX11C	peroxin 11c
AT1G01830	551	440	399	439	11.281	8.544	7.194	8.018	9.9125	7.606	-0.382111022	0.012227929	0.10614776	AT1G01830	ARM repeat superfamily protein
AT1G01840	18	25	29	29	1.075	1.365	1.49	1.563	1.22	1.5265	0.323346442	0.870726415	0.977199002	AT1G01840	AP2-like ethylene-responsive transcription factor SNZ
AT1G01860	252	237	366	392	9.585	8.984	12.588	14.168	9.2845	13.378	0.526966327	0.192772891	0.624271896	PFC1	Ribosomal RNA adenine dimethylase family protein
AT1G01880	36	42	64	59	0.833	0.913	1.462	1.26	0.873	1.361	0.640613508	0.471055729	0.899139999	AT1G01880	5'-3' exonuclease family protein
AT1G01900	180	115	158	173	3.312	2.011	2.596	2.909	2.6615	2.7525	0.048502998	0.591685275	0.944148318	SBTI1.1	subtilase family protein
AT1G01910	765	959	1206	1255	24.205	28.675	35.56	35.957	26.44	35.7585	0.435564043	0.281719982	0.746884785	AT1G01910	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G01920	205	251	465	462	4.839	5.648	9.853	9.959	5.2435	9.906	0.917772499	0.001098831	0.017009392	AT1G01920	SET domain-containing protein
AT1G01930	272	276	388	402	6.211	5.987	7.909	8.389	6.099	8.149	0.418050315	0.367798416	0.830227175	AT1G01930	zinc finger protein-like protein
AT1G01940	172	203	368	314	9.409	10.55	17.971	15.698	9.9795	16.8345	0.754381433	0.026087381	0.182148346	AT1G01940	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT1G01950	600	684	783	517	9.442	10.208	11.049	7.465	9.825	9.257	-0.085912685	0.188448115	0.618313544	ARK2	armadillo repeat kinesin 2
AT1G01960	1792	2040	2463	2507	14.759	15.962	18.109	18.87	15.3605	18.4895	0.267481033	0.779791698	0.966194613	EDA10	SEC7-like guanine nucleotide exchange family protein
AT1G01970	368	472	695	720	10.324	12.581	17.407	18.461	11.4525	17.934	0.64703474	0.028358382	0.193519469	AT1G01970	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01980	0	0	2	3	0	0	0.044	0.068	0.001	0.056	5.807354922	0.293575805	0.757600511	AT1G01980	FAD-binding Berberine family protein
AT1G01990	285	316	255	195	9.22	9.712	7.364	5.765	9.466	6.5645	-0.528069793	0.002225993	0.029605457	AT1G01990	uncharacterized protein
AT1G02000	251	247	256	279	5.767	5.392	5.251	5.858	5.5795	5.5545	-0.006478792	0.304674256	0.772025837	GAE2	UDP-D-glucuronate 4-epimerase 2
AT1G02010	181	205	217	259	3.533	3.848	3.679	4.751	3.6905	4.215	0.191716341	0.892814334	0.98234496	SEC1A	secretory 1A
AT1G02020	375	331	396	435	7.402	6.246	7.034	7.847	6.824	7.4405	0.124781927	0.624985134	0.958433792	AT1G02020	nitroreductase family protein
AT1G02030	12	3	4	2	0.27	0.064	0.08	0.041	0.167	0.0605	-1.464841055	0.233231575	0.685045761	AT1G02030	C2H2-like zinc finger protein
AT1G02040	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02040	C2H2-type zinc finger family protein
AT1G02050	59	68	131	119	1.838	2.013	3.643	3.388	1.9255	3.5155	0.868496771	0.060913678	0.321550467	LAP6	Chalcone and stilbene synthase family protein
AT1G02060	81	78	145	141	1.746	1.598	2.791	2.778	1.672	2.7845	0.735843445	0.111682918	0.46407834	AT1G02060	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02065	93	85	110	97	2.592	2.263	2.663	2.44	2.4275	2.5515	0.071874346	0.713642903	0.958433792	SPL8	squamosa promoter binding protein-like 8
AT1G02067	0	0	4	0	0	0	0.864	0	0.001	0.432	8.754887502	0.485054573	0.906667807	AT1G02067	uncharacterized protein
AT1G02070	5	15	9	5	0.304	0.866	0.489	0.278	0.585	0.3835	-0.609210047	0.455678727	0.893144168	AT1G02070	zinc ion-binding protein
AT1G02080	2193	2422	2979	3067	13.929	14.628	16.921	17.8	14.2785	17.3605	0.281964072	0.699103896	0.958433792	AT1G02080	transcription regulator
AT1G02090	633	621	930	822	24.356	22.714	31.872	28.905	23.535	30.3885	0.368717611	0.433542783	0.877795465	FUS5	Proteasome component (PCI) domain protein
AT1G02100	393	463	648	601	13.838	15.401	20.145	19.232	14.6195	19.6885	0.429459231	0.258104695	0.718868685	SBI1	Leucine carboxyl methyltransferase
AT1G02110	543	524	692	673	11.258	10.321	12.808	12.752	10.7895	12.78	0.244259826	0.938817275	0.98756765	AT1G02110	bZIP domain class transcription factor (DUF630 and DUF632)
AT1G02120	1584	1655	1817	1822	35.282	34.923	36.029	36.942	35.1025	36.4855	0.055749442	0.231925683	0.682940561	VAD1	GRAM domain family protein
AT1G02130	615	619	797	769	26.58	25.417	30.751	30.375	25.9985	30.563	0.233357774	0.9833047	0.996422566	RA-5	RAS 5
AT1G02140	1331	1301	1868	1747	72.975	67.768	91.431	87.538	70.3715	89.4845	0.346646543	0.456484314	0.893211671	MAGO	mago nashi family protein
AT1G02145	304	305	340	310	8.744	8.351	8.721	8.251	8.5475	8.486	-0.010417839	0.252022382	0.711670215	ALG12	homolog of asparagine-linked glycosylation 12
AT1G02150	2066	2329	3232	3545	50.083	53.639	69.944	78.538	51.861	74.241	0.517566118	0.044982629	0.265522217	AT1G02150	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02160	283	265	368	378	25.673	22.906	29.955	31.43	24.2895	30.6925	0.33755337	0.637414387	0.958433792	AT1G02160	Cox19 family protein (CHCH motif)
AT1G02170	727	733	956	739	24.037	23.024	28.217	22.33	23.5305	25.2735	0.103093493	0.533064938	0.927061803	MC1	metacaspase 1
AT1G02180	67	74	91	71	3.486	3.658	4.227	3.376	3.572	3.8015	0.089836711	0.716113016	0.958433792	AT1G02180	ferredoxin-like protein
AT1G02190	27	11	18	9	0.59	0.232	0.351	0.183	0.411	0.267	-0.622298652	0.325556191	0.792274332	AT1G02190	Fatty acid hydroxylase superfamily
AT1G02205	3005	1455	1365	1302	64.519	29.458	25.74	25.03	46.9885	25.385	-0.888331454	0.000858458	0.013983107	CER1	Fatty acid hydroxylase superfamily
AT1G02210	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02210	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02220	16	12	44	28	0.483	0.344	1.185	0.772	0.4135	0.9785	1.242684521	0.133070839	0.51340288	NAC003	NAC domain containing protein 3
AT1G02228	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	-	-
AT1G02230	0	5	3	0	0	0.159	0.089	0	0.0795	0.0445	-0.837149524	0.716683945	0.958433792	NAC004	NAC domain containing protein 4
AT1G02250	2	0	2	0	0.081	0	0.073	0	0.0405	0.0365	-0.150025444	0.909440884	0.98553254	NAC005	NAC domain containing protein 5
AT1G02260	211	283	384	345	3.983	5.12	6.533	6.014	4.5515	6.2735	0.46292847	0.32541558	0.792026693	AT1G02260	Divalent ion symporter
AT1G02270	733	661	729	621	20.245	17.344	17.97	15.675	18.7945	16.8225	-0.159918414	0.052151587	0.291749513	AT1G02270	Calcium-binding endonuclease/exonuclease/phosphatase family
AT1G02280	1002	1254	2185	2088	39.788	47.324	77.531	75.896	43.556	76.7135	0.816609016	0.000192651	0.004222939	TOC33	translocon at the outer envelope membrane of chloroplasts 33
AT1G02290	116	105	154	175	3.149	2.708	3.733	4.342	2.9285	4.0375	0.463300365	0.442055768	0.88430216	AT1G02290	uncharacterized protein
AT1G02300	348	481	419	537	11.404	14.975	12.257	16.082	13.1895	14.1695	0.103398976	0.603069483	0.950189507	AT1G02300	Cysteine proteinases superfamily protein
AT1G02305	962	999	1218	1143	32.801	32.361	37.075	35.618	32.581	36.3465	0.157785561	0.647751902	0.958433792	AT1G02305	Cysteine proteinases superfamily protein
AT1G02310	4	1	1	3	0.138	0.033	0.031	0.095	0.0855	0.063	-0.440572591	0.727745746	0.959067849	MAN1	Glycosyl hydrolase superfamily protein
AT1G02320	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02320	uncharacterized protein
AT1G02330	315	322	428	432	12.667	12.302	15.365	15.877	12.4845	15.621	0.32334877	0.640192796	0.958433792	AT1G02330	integrator complex subunit-like protein
AT1G02335	75	76	104	88	3.634	3.499	4.499	3.897	3.5665	4.198	0.235193193	0.985079548	0.996910005	GL22	germin-like protein subfamily 2 member 2 precursor
AT1G02340	108	99	79	87	3.725	3.244	2.426	2.742	3.4845	2.584	-0.431345585	0.053301569	0.295419329	HFR1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G02350	7	9	4	10	0.794	0.97	0.405	1.037	0.882	0.721	-0.290779396	0.641642109	0.958433792	AT1G02350	protoporphyrinogen oxidase-like protein
AT1G02360	226	180	357	176	9.698	7.338	13.676	6.902	8.518	10.289	0.272516137	0.908057983	0.98553254	AT1G02360	Chitinase family protein
AT1G02370	57	86	154	189	1.377	1.974	3.321	4.172	1.6755	3.7465	1.160951765	0.006749214	0.068541169	AT1G02370	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02380	46	48	41	43	1.676	1.661	1.333	1.432	1.6685	1.3825	-0.271272206	0.277758806	0.742322329	AT1G02380	uncharacterized protein
AT1G02390	591	344	277	206	13.671	7.56	5.72	4.355	10.6155	5.0375	-1.075392486	0.000108603	0.002610407	GPAT2	glycerol-3-phosphate acyltransferase 2
AT1G02400	1091	719	1074	406	36.863	23.068	32.408	12.55	29.9655	22.479	-0.414724589	0.384395733	0.845284322	GA2OX6	gibberellin 2-oxidase 6
AT1G02405	15	10	17	6	0.954	0.604	0.966	0.349	0.779	0.6575	-0.244632434	0.622486037	0.958433792	AT1G02405	proline-rich family protein
AT1G02410	354	410	435	437	13.253	14.586	14.562	14.959	13.9195	14.7605	0.084634203	0.452512179	0.891110251	AT1G02410	cytochrome c oxidase assembly protein CtaG / Cox11 family
AT1G02420	33	47	68	63	1.042	1.409	1.916	1.817	1.2255	1.8665	0.606965024	0.395766124	0.851637002	AT1G02420	Pentatricopeptide repeat (PPR) superfamily protein
AT1G02430	2	7	13	11	0.099	0.33	0.575	0.498	0.2145	0.5365	1.322600523	0.339570119	0.804199398	ARFD1B	ADP-ribosylation factor D1B
AT1G02440	2	4	1	0	0.127	0.251	0.057	0	0.189	0.0285	-2.72935241	0.24650508	0.703572911	ARFD1A	ADP-ribosylation factor D1A
AT1G02450	0	2	0	1	0	0.146	0	0.07	0.073	0.035	-1.060541542	0.745443468	0.96166008	NIMIN1	NIM1-interacting 1
AT1G02460	8	10	9	9	0.185	0.219	0.185	0.19	0.202	0.1875	-0.107464697	0.733748521	0.959698712	AT1G02460	Pectin lyase-like superfamily protein
AT1G02470	5	7	12	9	0.249	0.371	0.534	0.41	0.31	0.472	0.606518644	0.653054963	0.958433792	AT1G02470	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02475	1076	1264	1096	1251	47.314	52.805	43.024	50.274	50.0595	46.649	-0.101797726	0.047425568	0.27357686	AT1G02475	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02490	8	6	2	9	1.288	0.918	0.287	1.324	1.103	0.8055	-0.453476297	0.590950122	0.943912133	AT1G02490	uncharacterized protein
AT1G02500	5783	6152	7660	7777	163.178	163.471	191.052	199.147	163.3245	195.0995	0.256468858	0.79773162	0.966194613	SAM1	S-adenosylmethionine synthetase 1
AT1G02510	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	TPK4	Outward rectifying potassium channel protein
AT1G02520	11	8	30	44	0.13	0.085	0.298	0.455	0.1075	0.3765	1.808313205	0.024167802	0.173176452	ABCB11	P-glycoprotein 11
AT1G02530	5	2	10	8	0.058	0.022	0.104	0.085	0.04	0.0945	1.240314329	0.429971367	0.875514693	ABCB12	P-glycoprotein 12
AT1G02540	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02540	uncharacterized protein
AT1G02550	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02550	Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G02560	4954	5522	6755	6894	160.692	170.169	195.606	204.369	165.4305	199.9875	0.273684584	0.726435393	0.959067849	CLPP5	nuclear encoded CLP protease 5
AT1G02570	0	1	0	1	0	0.045	0	0.043	0.0225	0.0215	-0.065588342	0.945432762	0.988306255	AT1G02570	uncharacterized protein
AT1G02575	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02575	uncharacterized protein
AT1G02580	1	0	0	2	0.026	0	0	0.048	0.013	0.024	0.884522783	0.875479423	0.978349903	MEA	SET domain-containing protein
AT1G02590	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT1G02590	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein
AT1G02610	168	195	162	269	7.251	7.861	6.162	10.403	7.556	8.2825	0.132443597	0.788949457	0.966194613	AT1G02610	RING/FYVE/PHD zinc finger superfamily protein
AT1G02620	22	36	39	34	0.763	1.186	1.208	1.078	0.9745	1.143	0.230091313	0.994115023	0.998549193	AT1G02620	Ras-related small GTP-binding family protein
AT1G02630	0	1	0	2	0	0.026	0	0.055	0.013	0.0275	1.080919995	0.865335145	0.975778457	AT1G02630	Nucleoside transporter family protein
AT1G02640	402	731	575	655	6.955	12.015	8.881	10.356	9.485	9.6185	0.02016415	0.460036617	0.894423039	BXL2	beta-xylosidase 2
