"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"query_1",TRUE,1.38465575379643e-31,2941,349,138,0.39541547277937,0.0469228153689221,"GO:0042221","GO:BP","response to chemical",21844,9400
"query_1",TRUE,3.47449972333614e-31,2131,349,116,0.332378223495702,0.0544345377756922,"GO:0009628","GO:BP","response to abiotic stimulus",21844,3392
"query_1",TRUE,5.91201926800005e-31,6002,349,203,0.581661891117478,0.0338220593135621,"GO:0050896","GO:BP","response to stimulus",21844,12476
"query_1",TRUE,5.91741912427945e-26,424,349,50,0.143266475644699,0.117924528301887,"GO:0009414","GO:BP","response to water deprivation",21844,3322
"query_1",TRUE,2.20779556998091e-25,436,349,50,0.143266475644699,0.114678899082569,"GO:0009415","GO:BP","response to water",21844,3323
"query_1",TRUE,9.1369212704023e-25,1660,349,93,0.26647564469914,0.0560240963855422,"GO:1901700","GO:BP","response to oxygen-containing compound",21844,20237
"query_1",TRUE,4.0528926391287e-24,464,349,50,0.143266475644699,0.107758620689655,"GO:0001101","GO:BP","response to acid chemical",21844,275
"query_1",TRUE,5.41988508789388e-23,3733,349,142,0.406876790830946,0.0380391106348781,"GO:0006950","GO:BP","response to stress",21844,2451
"query_1",TRUE,4.67700303267519e-15,604,349,45,0.128939828080229,0.0745033112582782,"GO:0009737","GO:BP","response to abscisic acid",21844,3474
"query_1",TRUE,8.22584825984494e-15,613,349,45,0.128939828080229,0.0734094616639478,"GO:0097305","GO:BP","response to alcohol",21844,17363
"query_1",TRUE,1.12841071815455e-13,1635,349,74,0.212034383954155,0.0452599388379205,"GO:0009725","GO:BP","response to hormone",21844,3463
"query_1",TRUE,1.16610514081544e-13,1636,349,74,0.212034383954155,0.0452322738386308,"GO:0009719","GO:BP","response to endogenous stimulus",21844,3457
"query_1",TRUE,3.39958354552627e-13,1022,349,56,0.160458452722063,0.0547945205479452,"GO:0033993","GO:BP","response to lipid",21844,7811
"query_1",TRUE,1.07314656356273e-11,537,349,38,0.108882521489971,0.0707635009310987,"GO:0006970","GO:BP","response to osmotic stress",21844,2466
"query_1",TRUE,1.3384789085985e-09,164,349,20,0.0573065902578797,0.121951219512195,"GO:0010150","GO:BP","leaf senescence",21844,3785
"query_1",TRUE,2.93763266836372e-09,171,349,20,0.0573065902578797,0.116959064327485,"GO:0090693","GO:BP","plant organ senescence",21844,17197
"query_1",TRUE,1.01291756834867e-08,1670,349,65,0.186246418338109,0.0389221556886228,"GO:0070887","GO:BP","cellular response to chemical stimulus",21844,15231
"query_1",TRUE,1.62615556022018e-08,410,349,29,0.0830945558739255,0.0707317073170732,"GO:0009409","GO:BP","response to cold",21844,3318
"query_1",TRUE,8.35785825856074e-08,142,349,17,0.0487106017191977,0.119718309859155,"GO:0007623","GO:BP","circadian rhythm",21844,2940
"query_1",TRUE,1.14216137105819e-07,764,349,39,0.111747851002865,0.0510471204188482,"GO:0009416","GO:BP","response to light stimulus",21844,3324
"query_1",TRUE,1.20775048834694e-07,446,349,29,0.0830945558739255,0.0650224215246637,"GO:0009651","GO:BP","response to salt stress",21844,3412
